world_id,name,description_text,image_url,type,script,typical_speakers,regions,continent_ids,country_ids,difficulty,learning_time,phonetics,grammar,vocabulary_size,dialects,parent_language,related_languages,historical_context,cultural_significance,common_phrases,alphabet,writing_system,is_magical,magical_properties,literacy_rate,status,number_of_speakers,notable_texts,learning_resources,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
690f88707ca28b390273316f,Véh'ran,"Le Véh'ran est la langue principale des humains d'Ahr'n. C'est une langue fluide et adaptable, riche en voyelles et en sons liquides. Elle tire son nom du mot 'véh'ra' signifiant 'chemin' ou 'voyage'. Le Véh'ran a évolué à partir d'une langue commune utilisée lors des Grandes Migrations, et s'est enrichi au contact des autres races.",,Standard,Véh'ran,,,,,Facile,6-8 mois,"Sons fluides avec beaucoup de voyelles ouverte (a, e, o). Consonnes douces (v, r, h, n, l, m). Accent tonique important. Sons typiques : 'vh', 'rh', combinaisons vocaliques.","Structure SVO (Sujet-Verbe-Objet). Conjugaisons riches pour exprimer le temps et l'aspect du voyage (aller vers, venir de, être en route). Cas pour indiquer la direction et l'origine.",,,,,"Né pendant les Grandes Migrations il y a 3000 ans, le Véh'ran s'est répandu avec l'expansion humaine.","Langue du commerce, de la diplomatie inter-raciale, et de l'histoire des migrations. Considérée comme la lingua franca d'Ahr'n.",,Alphabet de 28 lettres avec des ligatures pour les voyelles combinées. Les lettres ressemblent à des chemins entrelacés et des pierres dressées.,Alphabétique,FALSE,,Élevé (70% chez les Véh'ranii),Vivant,Plus de 100 millions,,"Enseigné dans toutes les cités humaines, nombreux dialectes régionaux",,690f895f7ca28b3902733210,2025-11-08T18:18:07.961000,2025-11-08T18:18:07.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Véh'ran Nordique (Vhor'vehn),"Le Vhor'vehn est le dialecte Véh'ran parlé dans les régions nordiques d'Ahr'n. Plus guttural et avec des consonnes dures, il a été influencé par les langues Vor'kanii et Glym'shari.",,Dialecte,Véh'ran,,,,,Moyen,8-10 mois,"Consonnes dures (k, g, t, d), sons gutturaux, moins de voyelles, accent sur les syllabes fortes",Similaire au Véh'ran mais avec des inversions pour l'emphase,,,Véh'ran,,,"Dialecte des royaumes nordiques, associé aux guerriers et aux mineurs",,,Alphabétique,FALSE,,,Vivant,15 millions,,,,690f895f7ca28b3902733211,2025-11-08T18:18:07.961000,2025-11-08T18:18:07.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Véh'ran Côtier (Thal'vehn),Le Thal'vehn est parlé par les communautés côtières et a absorbé de nombreux mots Thal'moriens. Il est mélodieux et riche en métaphores marines.,,Dialecte,Véh'ran,,,,,Facile,6-8 mois,"Sons fluides et ondulés, nombreuses diphtongues, accent chantant",Utilise des temps verbaux spécifiques pour les marées et les saisons marines,,,Véh'ran,,,Langue des navigateurs et des marchands maritimes,,,Alphabétique,FALSE,,,Vivant,20 millions,,,,690f895f7ca28b3902733212,2025-11-08T18:18:07.961000,2025-11-08T18:18:07.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Véh'ran du Désert (Khar'vehn),"Le Khar'vehn est le dialecte des régions désertiques, fortement influencé par le Khar'dum. Il est concis et direct, adapté à la survie en milieu hostile.",,Dialecte,Véh'ran (avec des runes Khar'dum),,,,,Moyen,7-9 mois,"Sons secs et claquants, consonnes emphatiques, peu de voyelles longues","Structure simplifiée, conjugaisons réduites, vocabulaire spécialisé pour le désert",,,Véh'ran,,,Langue des caravaniers et des nomades du désert,,,Alphabétique,FALSE,,,Vivant,10 millions,,,,690f895f7ca28b3902733213,2025-11-08T18:18:07.961000,2025-11-08T18:18:07.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Véh'ran des Forêts (Syl'vehn),Le Syl'vehn est parlé dans les régions forestières et a intégré de nombreux emprunts au Syl'varien. Mélodieux et poétique.,,Dialecte,Véh'ran (avec influence elfique),,,,,Difficile,10-12 mois,"Sons doux et sifflants, nombreuses liaisons, accent mélodique",Temps verbaux complexes pour les cycles naturels et les saisons,,,Véh'ran,,,Langue des gardiens des forêts et des druides,,,Alphabétique,TRUE,Utilisé dans certains rituels druidiques pour communier avec la nature,,Vivant,8 millions,,,,690f895f7ca28b3902733214,2025-11-08T18:18:07.961000,2025-11-08T18:18:07.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
690f88707ca28b390273316f,Véh'ran Urbain (Cit'vehn),"Le Cit'vehn est un argot urbain parlé dans les grandes cités. Mélange de Véh'ran et d'emprunts multiples, rapide et pratique.",,Dialecte,Véh'ran (simplifié),,,,,Facile,4-6 mois,"Rythme rapide, contractions fréquentes, sons abrégés","Grammaire simplifiée, structure flexible",,,Véh'ran,,,Langue du commerce urbain et des guildes marchandes,,,Alphabétique,FALSE,,,Vivant,30 millions,,,,690f895f7ca28b3902733215,2025-11-08T18:18:07.961000,2025-11-08T18:18:07.961000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Commun,"Le Commun est la langue universelle des échanges commerciaux et diplomatiques. Presque tous les habitants des terres civilisées parlent au moins quelques mots de Commun, ce qui en fait la langue la plus répandue dans les mondes de jeu.",,Standard,Commun,,,,,Facile,3-6 mois,"Phonétique simple et claire, facile à prononcer pour la plupart des créatures humanoïdes.",Structure grammaticale logique avec ordre sujet-verbe-objet.,,,,,,"Langue du commerce, de la diplomatie et des échanges entre peuples différents.",,,Alphabétique,FALSE,,,Vivant,Dizaines de millions,,,,690f87c3ba909c83fcab9132,2025-11-08T18:11:15.944000,2025-11-08T18:11:15.944000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Nain,"La langue naine est riche en consonnes dures et en sons gutturaux. Elle est réputée pour sa précision technique et son vocabulaire étendu concernant la forge, la pierre et l'artisanat.",,Standard,Nain,,,,,Moyen,1-2 ans,"Sons gutturaux profonds, consonnes dures, peu de voyelles. Difficile pour les non-nains de reproduire l'accent authentique.",Structure complexe avec de nombreux cas grammaticaux pour indiquer les relations entre les mots.,,,,,,"Langue des artisans, des forgerons et des mineurs. Considérée comme sacrée par les nains qui la préservent jalousement.",,Runes angulaires gravées traditionnellement dans la pierre. Chaque rune a également une signification symbolique.,Runique,FALSE,,,Vivant,Plusieurs millions,"Les Rouleaux de Fer, chroniques historiques gravées sur des plaques métalliques",,,690f87c3ba909c83fcab9133,2025-11-08T18:11:15.944000,2025-11-08T18:11:15.944000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Elfique,"L'Elfique est une langue fluide et mélodieuse, considérée comme l'une des plus anciennes langues encore parlées. Sa beauté sonore en fait un langage prisé pour la poésie et la musique.",,Standard,Elfique,,,,,Difficile,2-3 ans,"Sons fluides et mélodieux, nombreuses voyelles, diphtongues complexes. La prononciation requiert une grande finesse.","Grammaire subtile avec de nombreuses nuances pour exprimer le temps, l'humeur et les relations sociales.",,,,,,"Langue de la haute culture, de la magie et de l'histoire ancienne. Symbole de l'héritage elfique millénaire.",,"Lettres élégantes et courbes, souvent ornées. L'écriture calligraphiée est considérée comme un art.",Alphabétique,TRUE,Certains sorts et rituels elfiques ne peuvent être correctement prononcés qu'en Elfique.,,Vivant,Millions,,,,690f87c3ba909c83fcab9134,2025-11-08T18:11:15.944000,2025-11-08T18:11:15.944000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
68e137a0493026cabfd05389,Géant,"Le Géant est une langue puissante aux consonances brutales, parlée par les géants et leurs cousins. C'est une langue simple mais expressive, adaptée aux besoins pratiques de ces créatures massives.",,Standard,Nain,,,,,Moyen,8 mois - 1 an,"Sons forts et retentissants, adaptés aux grandes créatures. Difficile à chuchoter.","Structure grammaticale relativement simple, vocabulaire direct.",,,,,,Langue des ordnings (hiérarchie sociale des géants) et des anciennes traditions géantes.,,,Runique,FALSE,,,Vivant,Centaines de milliers,,,,690f87c3ba909c83fcab9135,2025-11-08T18:11:15.944000,2025-11-08T18:11:15.944000,68d133369c4bfb4942ca73e3,greg.demeulenaere@gmail.com,FALSE
